abbreviation	full_name	parent	type_of_match	existing_cl_id	marker_cl_id	marker_cl_label	marker_score	marker_conflict	marker_note	lexical_cl_id	lexical_cl_label	lexical_note	agreement
BDN4	Double Negative B cell 4	BDN	Exact		CL:0000961	Bm1 B cell	23			CL:0000808	DN4 thymocyte		no
Bmem	Memory B cell		Exact		CL:0002112	B220-positive CD38-negative unswitched memory B cell	24			CL:0000787	memory B cell		no
IgD only	IgD only Memory B cell	Bmem	Exact		CL:0002112	B220-positive CD38-negative unswitched memory B cell	24			CL:0001053	IgD-negative memory B cell		no
Unswitched	Unswitched Memory B cell	Bmem	Exact		CL:0002112	B220-positive CD38-negative unswitched memory B cell	25			CL:0000970	unswitched memory B cell		no
IgM only	IgM-only Memory B cell	Bmem	Exact		CL:0002112	B220-positive CD38-negative unswitched memory B cell	24			CL:0000971	IgM memory B cell		no
Switched	Switched Memory B cell	Bmem	Exact		CL:0002112	B220-positive CD38-negative unswitched memory B cell	25			CL:0002117	IgG-negative class switched memory B cell		no
IgA	IgA-Class Switched B cell	Switched	Surface Only (SO)		CL:0002112	B220-positive CD38-negative unswitched memory B cell	24			CL:0000973	IgA memory B cell		no
IgG	IgG-Class Switched B cell	Switched	Surface Only (SO)		CL:0002112	B220-positive CD38-negative unswitched memory B cell	24			CL:0002117	IgG-negative class switched memory B cell		no
IgE	IgE-Class Switched B cell	Switched	Surface Only (SO)		CL:0002112	B220-positive CD38-negative unswitched memory B cell	24			CL:0000948	IgE memory B cell		no
T cell	T lymphocyte		Exact		CL:0002468	Gr1-low myeloid suppressor cell	7			CL:0002103	IgG-positive double negative memory B cell		no
CD56+ T cell	CD56+ T cell	T cell	Exact		CL:0002468	Gr1-low myeloid suppressor cell	7			CL:0000939	CD16-positive, CD56-dim natural killer cell, human		no
CD56+ CD4 T cell	CD56+ CD4 T cell	CD4+ T cell	Exact		CL:0002039	immature NK T cell stage I, mouse	9			CL:0000037	hematopoietic stem cell		no
CD56+ CD8 T cell	CD56+ CD8 T cell	CD8+ T cell	Exact		CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	14			CL:0000037	hematopoietic stem cell		no
CD56+ TCRab	CD56+ alpha/beta T cell	TCRab	Exact		CL:0002468	Gr1-low myeloid suppressor cell	7			CL:0000096	mature neutrophil		no
CD56+ CD4+ TCRab	CD56+ CD4+ alpha/beta T cell	CD4+ TCRab T cell	Exact		CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	13			CL:0000096	mature neutrophil		no
CD56+ CD8+ TCRab	CD56+ CD8+ alpha/beta T cell	CD8+ TCRab T cell	Exact		CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	13			CL:0000096	mature neutrophil		no
CD56+ CD4+/CD8+ TCRab	CD56+ CD4+/CD8+ alpha/beta T cell	CD4+/CD8+ TCRab T cell	Exact		CL:0002039	immature NK T cell stage I, mouse	9			CL:0000096	mature neutrophil		no
CD56+ CD4-/CD8- TCRab	CD56+ CD4-/CD8- alpha/beta T cell	CD4-/CD8- TCRab T cell	Exact		CL:0000803	CD4-negative CD8-negative gamma-delta intraepithelial T cell	10			CL:0000096	mature neutrophil		no
CD56+ TCRgd	CD56+ gamma/delta T cell	TCRgd	Exact		CL:0002468	Gr1-low myeloid suppressor cell	7					no CL hits	no
CD56+ CD4+ TCRgd	CD56+ CD4+ gamma/delta T cell	CD4+ TCRgd T cell	Exact		CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	13					no CL hits	no
CD56+ CD8+ TCRgd	CD56+ CD8+ gamma/delta T cell	CD8+ TCRgd T cell	Exact		CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	13					no CL hits	no
CD56+ CD4+/CD8+ TCRgd	CD56+ CD4+/CD8+ gamma/delta T cell	CD4+/CD8+ TCRgd	Exact		CL:0002039	immature NK T cell stage I, mouse	9					no CL hits	no
CD56+ CD8-/CD8- TCRgd	CD56+ CD8-/CD8- gamma/delta T cell	CD4-/CD8- TCRgd	Exact		CL:0000803	CD4-negative CD8-negative gamma-delta intraepithelial T cell	11					no CL hits	no
